Survey,EndDate,freq,
eoc1,6/22/2020 14:16,1,
eoc1,6/22/2020 14:18,1,
eoc1,6/22/2020 14:33,1,
eoc1,6/22/2020 14:34,1,
eoc1,6/22/2020 14:43,2,
eoc1,6/22/2020 15:06,1,
eoc1,6/22/2020 15:50,1,
eoc1,6/22/2020 16:36,1,
eoc1,6/22/2020 16:58,1,
eoc1,6/22/2020 17:02,1,
eoc1,6/22/2020 19:53,1,
eoc1,6/22/2020 21:45,1,
eoc1,6/23/2020 8:42,1,
eoc1,6/23/2020 9:11,1,
eoc2,6/23/2020 15:13,1,
eoc2,6/23/2020 16:42,1,
eoc2,6/23/2020 16:50,1,
eoc1,6/23/2020 16:56,1,
eoc2,6/23/2020 16:59,1,
eoc2,6/23/2020 17:05,2,
eoc1,6/23/2020 17:11,1,
eoc1,6/23/2020 17:26,1,
eoc2,6/23/2020 17:53,1,
eoc1,6/23/2020 18:24,1,
eoc2,6/23/2020 18:47,1,
eoc1,6/23/2020 19:15,1,
eoc2,6/23/2020 20:01,1,
eoc2,6/23/2020 21:45,1,
eoc2,6/24/2020 8:07,1,
eoc3,6/24/2020 14:32,1,
eoc3,6/24/2020 15:18,1,
eoc3,6/24/2020 15:58,1,
eoc1,6/24/2020 17:27,1,
eoc1,6/24/2020 19:06,1,
eoc3,6/24/2020 19:49,1,
eoc1,6/24/2020 20:23,1,
eoc3,6/24/2020 20:58,1,
eoc1,6/24/2020 22:51,1,
eoc1,6/25/2020 7:23,1,
eoc3,6/25/2020 8:27,1,
eoc1,6/25/2020 8:44,1,
eoc4,6/25/2020 14:46,1,
eoc4,6/25/2020 14:48,1,
eoc4,6/25/2020 14:51,1,
eoc4,6/25/2020 15:22,1,
eoc1,6/25/2020 16:34,1,
eoc1,6/25/2020 16:35,1,
eoc4,6/25/2020 16:51,1,
eoc1,6/25/2020 17:03,1,
eoc1,6/25/2020 18:25,1,
eoc4,6/25/2020 19:30,1,
eoc1,6/25/2020 20:47,1,
eoc1,6/25/2020 21:50,1,
eoc5,6/26/2020 14:37,1,
eoc5,6/26/2020 14:52,1,
eoc5,6/26/2020 15:00,1,
eoc5,6/26/2020 16:19,1,
eoc5,6/26/2020 16:44,1,
eoc5,6/26/2020 17:31,1,
eoc1,6/26/2020 18:16,1,
eoc1,7/1/2020 12:39,1,
