StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q11,Q11,Q12,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Overall, how satisfied were you with the workshop?",Please rate your agreement with the following statements. - The workshop was an effective use of my time,Please rate your agreement with the following statements. - The workshop was relevant to my teaching context.,Please rate your agreement with the following statements. - The workshop helped me to be able to use student-collected data in my teaching.,Please rate your agreement with the following statements. - The workshop addressed a need I have as a teacher.,Please rate your agreement with the following statements. - The workshop facilitators seemed knowledgeable.,Please rate your agreement with the following statements. - The workshop gave enough information regarding science communication.,Please rate your agreement with the following statements. - The workshop clearly showed how I can integrate the use of science communication into my current teaching.,How satisfied were you with the use of Zoom (in general) for the workshop?,How satisfied were you with the use of breakout rooms within Zoom for the workshop?,What feedback - if any - do you have with respect to the use of Zoom for the workshop?,In what ways do you plan to use the information in this workshop in your own classroom?,How can this workshop be improved?,What else - if anything - would you like to share with us about the workshop?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}"
2020-06-26 18:16:51,2020-06-26 18:22:22,Survey Preview,,100,331,True,2020-06-26 18:22:23,R_30vjCeJ0yqeeo5m,,,,,35.0955963134765625,-85.17690277099609375,preview,EN,Extremely satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat satisfied,Extremely satisfied,"5+ hours straight is very tiring.  That said, it is a lot better than talking on the phone for that long.",I will use it as a basis for my students to learn about pathogens and vectors in context of those that can affect them.,Group by Grade Level instead of tasks when appropriate.,Nothing.  Long but informative.  I learned a lot that I did not understand before workshop.
2020-06-26 19:18:10,2020-06-26 19:26:49,Survey Preview,,100,518,True,2020-06-26 19:26:50,R_QgYmTuxPSbPan2p,,,,,35.6884002685546875,-84.07689666748046875,preview,EN,Extremely satisfied,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Extremely satisfied,Extremely satisfied,,"I plan on using the information that I learned to carry out the research with my students.  I want to use the Common Online Data Analysis Platform (CODAP) website to help my students analyze their results from this experiment and others as well.  I want to continue integrating ArcGIS into my classroom lessons as well.  ","I think this workshop was a good balance of hands on, small group and lecture.  The only thing that was hard was being in front of the computer for so long, but due to the current situation, that was not something that could be avoided.","I appreciate all that you all did to prepare this and make it as interactive as possible.  All of the sessions were great.  It took some stepping out of my comfort zone to share my screen and learn hands on with everyone watching, but I appreciate the opportunity to do that as it will help me in the future as I move forward with this project and as a teacher."
2020-06-26 19:40:15,2020-06-26 19:44:29,Survey Preview,,100,254,True,2020-06-26 19:44:30,R_33frpJrhatwi6Jr,,,,,36.049896240234375,-83.92279815673828125,preview,EN,Extremely satisfied,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Extremely satisfied,Extremely satisfied,,"Designing an investigation, intro to GIS, relating the research to several TN Sci Standards, mitigating the problem of disease transition jand communicating results of mosquito research and behavior change in the community. ","I would like to spend more time relating what we are doing to the TN science standards or the practices to justify the time taken away from the curriculum ",
2020-06-22 09:10:27,2020-06-22 09:12:24,IP Address,162.72.55.194,11,117,False,2020-06-29 09:12:30,R_XAjqwlEEyLlWggN,,,,,,,anonymous,EN,,,,,,,,,,,,,,
2020-06-22 09:11:09,2020-06-22 09:13:47,IP Address,73.190.162.5,11,157,False,2020-06-29 09:14:11,R_23ZY4UNAkB6ezQh,,,,,,,anonymous,EN,,,,,,,,,,,,,,
2020-06-29 11:44:55,2020-06-29 11:47:31,Survey Preview,,100,156,True,2020-06-29 11:47:32,R_3m4ZxMmTdh7t9Qp,,,,,36.0048065185546875,-86.78859710693359375,preview,EN,Extremely satisfied,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat satisfied,Extremely satisfied,"None, it is what it is.","authentic scientific research ",be in person whenever possible,valuable information for me and my students- thank you
2020-06-29 12:24:21,2020-06-29 12:39:39,Survey Preview,,100,917,True,2020-06-29 12:39:40,R_cwfEPeopmVSC5q1,,,,,35.89739990234375,-83.94249725341796875,preview,EN,Extremely satisfied,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Extremely satisfied,Somewhat satisfied,"1-to-1 GIS Breakout room was very effective; however, not nearly long enough!!
Only other problem was some folks talked a lot and others did not get a chance to talk at all. The communications team breakout room was nice because someone actually realized that 1 person did not get a chance to talk and asked their opinion. So, having some equability in the conversations could be better. Maybe use a facilitator in the rooms next time?","Becky's mosquito powerpoints with embedded video clips! I loved the GIS Inquiries, but don't see one for my subject. Maybe I can modify one to work. ","The idea of pairing up the folks with lots of GIS experience/previous coursework with the beginners was really good! However; the time to practice the 1-1 was not nearly long enough. I get much more out of something if we are all on a level playing field. So, maybe even doing more for the beginners and slow down!!!","Overall very good. I may have missed the connection on Joshua Rosenberg's presentation. Not sure how the data was compiled, how it integrates with GIS and how we can use it. Is there a video tutorial for this? I am also wondering if the ""attributes"" (column headings) could be worded better? Meaning, that someone unfamiliar with the project could easily read the word and know exactly what data it represented. Bottom line for me is I need to spend more time playing with the GIS on my own."
2020-06-30 09:42:06,2020-06-30 09:45:51,Survey Preview,,100,225,True,2020-06-30 09:45:52,R_1jKb4wTmxiiQMJO,,,,,35.8585052490234375,-84.12059783935546875,preview,EN,Extremely satisfied,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat satisfied,Extremely satisfied,"It’s tiring to look at a screen, but it went pretty well. I liked the breakout rooms",I want to get more involved with the GIS so I am working on how to incorporate the maps into our learning more,"Our Friday afternoon chat needs to be on Thursday or something so that people can take it home, sit on the info, and come back fresh to discuss more the next day. I’m dead by Friday afternoon","The small group GIS work was super helpful "
